,Brand,Year,Model,Title,UsedOrNew,Transmission,FuelType,Kilometres,CylindersinEngine,BodyType,Price,Colour
55,BMW,2012,X3,BMW X3 Xdrive,USED,Automatic,Diesel,109459,4,SUV,18888,Black
56,Holden,2016,Cascada,Holden Cascada,USED,Automatic,Premium,65361,4,Convertible,24995,Silver
57,Mercedes-Benz,2006,ML320,Mercedes-Benz ML320 CDI,USED,Automatic,Diesel,212953,6,SUV,9998,Silver
58,Mitsubishi,2009,Lancer,Mitsubishi Lancer ES,USED,Automatic,Unleaded,163012,4,Sedan,9990,Red
59,Audi,2014,A5,Audi A5 2.0,USED,Automatic,Premium,82119,4,Coupe,27380,White
60,Kia,2018,RIO,Kia RIO GT-Line,USED,Automatic,Unleaded,42071,3,Hatchback,24999,Red
61,Jeep,2015,Cherokee,Jeep Cherokee Longitude,USED,Automatic,Unleaded,85958,6,SUV,17999,Red
62,Volkswagen,2011,Tiguan,Volkswagen Tiguan 132,USED,Automatic,Premium,118642,4,SUV,12990,Black
63,Mitsubishi,2012,ASX,Mitsubishi ASX (2WD),USED,Automatic,Unleaded,187265,4,SUV,13990,Blue
64,BMW,2016,220I,BMW 220I M-Sport,USED,Automatic,Premium,118120,4,Convertible,28990,Grey
65,Hyundai,2022,Tucson,Hyundai Tucson (FWD),USED,Automatic,Unleaded,19978,4,SUV,36800,White
66,Mazda,2011,3,Mazda 3 NEO,USED,Automatic,Unleaded,86804,4,Sedan,13999,Grey
67,Volkswagen,2023,Tiguan,Volkswagen Tiguan Allspace,NEW,Automatic,Premium,15,4,SUV,56887,Black
68,Hyundai,2014,Imax,Hyundai Imax,USED,Automatic,Diesel,183550,4,Wagon,19888,White
69,Toyota,2014,Yaris,Toyota Yaris YR,USED,Automatic,Unleaded,191748,4,Hatchback,8995,Green
70,Toyota,2016,Kluger,Toyota Kluger Grande,USED,Automatic,Unleaded,139637,6,SUV,31900,Grey
71,Mitsubishi,2013,Lancer,Mitsubishi Lancer LX,USED,Automatic,Unleaded,165306,4,Sedan,14995,Grey
72,Subaru,2016,XV,Subaru XV 2.0I-L,USED,Automatic,Unleaded,104887,4,SUV,22990,Grey
73,Mini,2017,Cooper,Mini Cooper S,USED,Automatic,Premium,72501,4,Hatchback,31990,Yellow
74,Peugeot,2015,308,Peugeot 308 T9,USED,Automatic,Unleaded,167127,4,Hatchback,12999,White
75,Holden,2010,Commodore,Holden Commodore SS-V,USED,Manual,Unleaded,169220,8,Ute / Tray,25999,Black
76,Hyundai,2015,I20,Hyundai I20 Active,USED,Automatic,Unleaded,111783,4,Hatchback,13990,Silver
77,Mazda,2018,BT-50,Mazda BT-50 XTR,USED,Automatic,Diesel,97460,5,Ute / Tray,30990,White
78,Mazda,2009,3,Mazda 3 Maxx,USED,Automatic,Unleaded,178389,4,Sedan,8499,Black
79,Hyundai,2011,I20,Hyundai I20 Active,USED,Automatic,Unleaded,188262,4,Hatchback,10995,Blue
80,Honda,2015,Vezel,Honda Vezel Hybrid,USED,Automatic,Unleaded,71059,4,Wagon,24888,Grey
81,Mazda,2010,CX-7,Mazda CX-7 Luxury,USED,Automatic,Unleaded,152831,4,SUV,11669,Black
82,Jeep,2017,Renegade,Jeep Renegade Limited,USED,Automatic,Premium,69218,4,SUV,24950,Grey
83,Mazda,2013,6,Mazda 6 Sport,USED,Automatic,Unleaded,124093,4,Sedan,16990,White
84,Nissan,2009,Elgrand,Nissan Elgrand Highway,USED,Automatic,Unleaded,103090,4,Wagon,19995,White
85,Kia,2013,Grand,Kia Grand Carnival,USED,Automatic,Unleaded,98672,6,Wagon,13995,White
86,Mitsubishi,2015,Lancer,Mitsubishi Lancer ES,USED,Automatic,Unleaded,61481,4,Sedan,17995,Grey
87,Subaru,2018,Impreza,Subaru Impreza 2.0I,USED,Automatic,Unleaded,61177,4,Hatchback,22990,Grey
88,Mazda,2014,3,Mazda 3 NEO,USED,Automatic,Unleaded,132648,4,Hatchback,16999,Red
89,BMW,2021,X4,BMW X4 Xdrive20I,USED,Automatic,Unleaded,31367,4,SUV,79988,Grey
90,Mazda,2010,CX-7,Mazda CX-7 Luxury,USED,Automatic,Unleaded,174818,4,SUV,12800,Red
91,Audi,2015,A5,Audi A5 2.0,USED,Automatic,Premium,115334,4,Coupe,26880,Grey
92,BMW,2014,118I,BMW 118I,USED,Automatic,Premium,57000,4,Hatchback,16990,White
93,Toyota,2013,HiAce,Toyota HiAce DX,USED,Automatic,Diesel,191173,4,Commercial,30900,Silver
94,Audi,2014,Q7,Audi Q7 4.2,USED,Automatic,Diesel,199941,8,SUV,28999,Black
95,Suzuki,2015,Celerio,Suzuki Celerio,USED,Automatic,Unleaded,23316,3,Hatchback,13880,Blue
96,Subaru,2016,Liberty,Subaru Liberty 3.6R,USED,Automatic,Premium,226127,6,Sedan,17950,White
97,Toyota,2019,C-HR,Toyota C-HR (2WD),USED,Manual,Premium,58185,4,SUV,33888,Yellow
98,Subaru,2021,Forester,Subaru Forester 2.5I,USED,Automatic,Unleaded,16136,4,SUV,39990,Silver
99,Mazda,2015,CX-3,Mazda CX-3 S,USED,Automatic,Unleaded,31531,4,SUV,23950,White
100,Jeep,2018,Grand,Jeep Grand Cherokee,USED,Automatic,Diesel,76472,6,SUV,41950,White
101,Hyundai,2018,I30,Hyundai I30 Active,USED,Automatic,Unleaded,62719,4,Hatchback,21999,Silver
102,Nissan,2020,X-Trail,Nissan X-Trail ST,USED,Automatic,Unleaded,52035,4,SUV,27990,Grey
103,Honda,2010,City,Honda City VTI,USED,Automatic,Unleaded,146445,4,Sedan,8950,Black
104,Honda,2020,CR-V,Honda CR-V VTI-L7,USED,Automatic,Unleaded,35214,4,SUV,37880,Grey
105,Holden,2014,Cruze,Holden Cruze SRI,USED,Manual,Unleaded,163000,4,Hatchback,7950,Red
106,Jeep,2013,Grand,Jeep Grand Cherokee,USED,Automatic,Premium,69001,6,SUV,24990,Grey
107,Toyota,2007,RAV4,Toyota RAV4 Cruiser,USED,Automatic,Unleaded,106718,4,SUV,14999,Silver
108,Holden,2016,Commodore,Holden Commodore Evoke,USED,Automatic,Unleaded,59689,6,Sedan,22999,Red
109,Mercedes-Benz,2010,CLC200,Mercedes-Benz CLC200 Kompressor,USED,Automatic,Premium,177834,4,Coupe,7999,Silver
