,Brand,Year,Model,Title,UsedOrNew,Transmission,FuelType,Kilometres,CylindersinEngine,BodyType,Price,Colour
2293,Toyota,2019,RAV4,Toyota RAV4 Cruiser,USED,Automatic,Hybrid,50290,4,SUV,56990,Blue
2294,Mitsubishi,2016,Pajero,Mitsubishi Pajero GLX,USED,Automatic,Diesel,180163,4,SUV,30990,White
2295,Ford,2018,Ranger,Ford Ranger XLT,USED,Automatic,Diesel,164762,5,Ute / Tray,39990,Grey
2296,Kia,2021,Cerato,Kia Cerato GT,USED,Automatic,Unleaded,18808,4,Sedan,34990,Silver
2297,Toyota,2008,Corolla,Toyota Corolla Levin,USED,Automatic,Unleaded,165708,4,Hatchback,13995,Grey
2298,Mazda,2014,3,Mazda 3 Maxx,USED,Manual,Unleaded,92807,4,Sedan,19990,Red
2299,Audi,2022,A4,Audi A4 45,USED,Automatic,Premium,2001,4,Sedan,71880,White
2300,Land,2016,Rover,Land Rover Range,USED,Automatic,Diesel,64549,4,SUV,39880,Silver
2301,Holden,2017,Trailblazer,Holden Trailblazer LTZ,USED,Automatic,Diesel,158811,4,SUV,27880,Blue
2302,Jeep,2013,Compass,Jeep Compass Sport,USED,Automatic,Premium,102140,4,SUV,12777,Black
2303,Fiat,2013,Freemont,Fiat Freemont Lounge,USED,Automatic,Unleaded,168700,4,SUV,10950,White
2304,Mazda,2018,2,Mazda 2 NEO,USED,Automatic,Unleaded,115078,4,Hatchback,17990,White
2305,Holden,2015,Calais,Holden Calais,USED,Automatic,Unleaded,190878,6,Sedan,19995,White
2306,Mitsubishi,2020,ASX,Mitsubishi ASX LS,USED,Automatic,Unleaded,53429,4,SUV,26999,Blue
2307,Honda,2012,Odyssey,Honda Odyssey Luxury,USED,Automatic,Unleaded,252148,4,Wagon,13990,Silver
2308,Hyundai,2014,IX35,Hyundai IX35 Elite,USED,Automatic,Unleaded,89697,4,Wagon,18950,Orange
2309,Toyota,2014,Landcruiser,Toyota Landcruiser GXL,USED,Manual,Diesel,46097,8,SUV,89990,White
2310,Mitsubishi,2014,ASX,Mitsubishi ASX Aspire,USED,Automatic,Unleaded,220912,4,SUV,12990,Silver
2311,Mercedes-Benz,2014,C250,Mercedes-Benz C250 Bluetec,USED,Automatic,Diesel,109384,4,Sedan,29800,Silver
2312,Nissan,2016,Pulsar,Nissan Pulsar ST,USED,Automatic,Unleaded,129973,4,Sedan,12990,Red
2313,Volkswagen,2023,Golf,Volkswagen Golf 110TSI,NEW,Automatic,Premium,15,4,Hatchback,53887,Black
2314,Land,2019,Rover,Land Rover Range,USED,Automatic,Diesel,25433,4,SUV,75880,White
2315,Audi,2013,A3,Audi A3 Sportback,USED,Automatic,Premium,113870,4,Hatchback,16999,White
2316,Nissan,2022,Qashqai,Nissan Qashqai,DEMO,Automatic,Unleaded,4456,4,Wagon,44990,Grey
2317,Ford,2012,Territory,Ford Territory TX,USED,Automatic,Unleaded,182092,6,SUV,14913,Grey
2318,Volkswagen,2011,Golf,Volkswagen Golf 118,USED,Automatic,Premium,187812,4,Hatchback,8995,White
2319,Volkswagen,2016,Tiguan,Volkswagen Tiguan 132,USED,Automatic,Premium,84284,4,SUV,24880,Black
2320,Toyota,2022,Yaris,Toyota Yaris Cross,USED,Automatic,Hybrid,15003,3,SUV,38990,Silver
2321,Mazda,2018,6,Mazda 6 Atenza,USED,Automatic,Unleaded,56404,4,Wagon,33990,Grey
2322,MG,2022,HS,MG HS Essence,USED,Automatic,Unleaded,27112,4,SUV,31880,White
2323,Subaru,2014,Impreza,Subaru Impreza 2.0I,USED,Automatic,Unleaded,153455,4,Hatchback,13990,White
2324,Toyota,2021,RAV4,Toyota RAV4 Cruiser,USED,Automatic,Unleaded,21609,4,SUV,49888,White
2325,Nissan,2022,X-Trail,Nissan X-Trail,DEMO,Automatic,Unleaded,1369,4,Wagon,43990,Grey
2326,Subaru,2014,BRZ,Subaru BRZ,USED,Automatic,Premium,60460,4,Coupe,26777,Black
2327,Audi,2013,A6,Audi A6 2.0,USED,Automatic,Diesel,127588,4,Sedan,21990,White
2328,Holden,2008,Commodore,Holden Commodore SV6,USED,Manual,Unleaded,215849,6,Ute / Tray,11990,Black
2329,Toyota,2018,Hilux,Toyota Hilux Workmate,USED,Automatic,Unleaded,80608,4,Ute / Tray,26999,White
2330,Nissan,2012,X-Trail,Nissan X-Trail ST,USED,Manual,Unleaded,178998,4,SUV,8990,White
2331,Holden,2017,Commodore,Holden Commodore RS,USED,Automatic,Premium,44781,4,Hatchback,24788,Silver
2332,Ford,2022,Escape,Ford Escape ST-Line,USED,Automatic,Premium,11093,4,SUV,44705,Blue
2333,Holden,2010,Commodore,Holden Commodore International,USED,Automatic,Unleaded,176323,6,Wagon,11950,Grey
2334,Kia,2019,Carnival,Kia Carnival S,USED,Automatic,Unleaded,62520,6,Wagon,36990,Grey
2335,Hyundai,2021,Kona,Hyundai Kona N,USED,Automatic,Unleaded,14135,4,SUV,38990,Blue
2336,Mitsubishi,2012,Lancer,Mitsubishi Lancer ES,USED,Manual,Unleaded,260950,4,Sedan,6500,Silver
2337,Volkswagen,2014,Caddy,Volkswagen Caddy TDI250,USED,Automatic,Diesel,219000,4,Commercial,13999,Grey
2338,MG,2022,HS,MG HS Essence,DEMO,Automatic,Unleaded,15,4,SUV,38690,White
2339,Holden,2011,Commodore,Holden Commodore SV6,USED,Automatic,Unleaded,159955,6,Sedan,13913,Blue
2340,Ford,2018,Everest,Ford Everest Trend,USED,Automatic,Diesel,63250,5,SUV,52999,Black
2341,Hyundai,2019,I30,Hyundai I30 Active,USED,Automatic,Unleaded,54188,4,Hatchback,23990,Red
2342,Hyundai,2021,Kona,Hyundai Kona Active,USED,Automatic,Unleaded,23130,4,SUV,30990,White
2343,Audi,2014,Q7,Audi Q7 3.0,USED,Automatic,Diesel,175271,6,SUV,24880,White
2344,Toyota,2014,Camry,Toyota Camry RZ,USED,Automatic,Unleaded,196333,4,Sedan,16990,Orange
2345,Toyota,2007,HiAce,Toyota HiAce DX,USED,Automatic,Diesel,184645,4,Commercial,36500,Silver
2346,Holden,2013,Barina,Holden Barina CDX,USED,Automatic,Unleaded,118004,4,Hatchback,9995,Grey
2347,Mercedes-Benz,2005,E350,Mercedes-Benz E350 Avantgarde,USED,Automatic,Premium,211053,6,Sedan,7999,Grey
2348,Toyota,2005,Camry,Toyota Camry Grande,USED,Automatic,Unleaded,151400,6,Sedan,10980,Green
2349,Hyundai,2017,I30,Hyundai I30 Active,USED,Automatic,Unleaded,68203,4,Hatchback,25990,White
2350,Mazda,2019,CX-5,Mazda CX-5 Akera,USED,Automatic,Unleaded,51056,4,Wagon,41999,White
2351,Mitsubishi,2015,ASX,Mitsubishi ASX XLS,USED,Automatic,Diesel,159086,4,SUV,17880,Blue
2352,Hyundai,2022,Tucson,Hyundai Tucson (FWD),USED,Automatic,Unleaded,19150,4,SUV,36990,White
2353,Holden,2012,Captiva,Holden Captiva 7,USED,Automatic,Unleaded,120500,6,SUV,8995,Silver
2354,Nissan,2021,Patrol,Nissan Patrol TI,USED,Automatic,Premium,68537,8,SUV,87990,Black
2355,Mazda,2020,CX-30,Mazda CX-30 G20,USED,Automatic,Unleaded,76560,4,SUV,31450,White
2356,Toyota,2012,Corolla,Toyota Corolla Ascent,USED,Manual,Unleaded,155657,4,Hatchback,11995,Silver
2357,Toyota,2011,Yaris,Toyota Yaris YR,USED,Automatic,Unleaded,197505,4,Hatchback,8995,White
2358,Jeep,2013,Grand,Jeep Grand Cherokee,USED,Automatic,Diesel,274689,6,SUV,14990,Gold
2359,Nissan,2013,Dualis,Nissan Dualis TI-L,USED,Automatic,Unleaded,111777,4,SUV,16990,Silver
2360,Mitsubishi,2011,Outlander,Mitsubishi Outlander LS,USED,Automatic,Unleaded,142780,4,SUV,13950,White
2361,Toyota,2007,Camry,Toyota Camry Ateva,USED,Automatic,Unleaded,140724,4,Sedan,12750,Grey
2362,MG,2020,HS,MG HS Excite,USED,Automatic,Unleaded,34217,4,SUV,28990,Red
2363,Toyota,2011,Yaris,Toyota Yaris YR,USED,Manual,Unleaded,132826,4,Hatchback,9990,Blue
2364,MG,2022,HS,MG HS Excite,NEW,Automatic,Unleaded,15,4,SUV,36690,Black
2365,Subaru,2016,XV,Subaru XV 2.0I,USED,Automatic,Unleaded,24499,4,SUV,27990,White
2366,Mitsubishi,2018,Eclipse,Mitsubishi Eclipse Cross,USED,Automatic,Unleaded,96582,4,SUV,25999,White
2367,Volkswagen,2014,Amarok,Volkswagen Amarok TDI420,USED,Automatic,Diesel,122101,4,Ute / Tray,34995,White
2368,Hyundai,2019,I30,Hyundai I30 Active,USED,Automatic,Diesel,53531,4,Hatchback,24990,Grey
2369,Volkswagen,2018,Amarok,Volkswagen Amarok V6,USED,Automatic,Diesel,69212,6,Ute / Tray,41880,Grey
2370,Toyota,2019,RAV4,Toyota RAV4 Cruiser,USED,Automatic,Hybrid,79828,4,SUV,48990,White
2371,Land,2010,Rover,Land Rover Range,USED,Automatic,Diesel,119109,8,SUV,31990,Black
2372,Toyota,2017,Tarago,Toyota Tarago GLI,USED,Automatic,Premium,22500,6,Wagon,39990,White
2373,Nissan,2013,Pulsar,Nissan Pulsar ST,USED,Manual,Unleaded,137220,4,Hatchback,11999,Grey
2374,Mazda,2017,CX-3,Mazda CX-3 S,USED,Automatic,Unleaded,81645,4,SUV,22990,Black
2375,Holden,2005,Commodore,Holden Commodore S,USED,Manual,Unleaded,143242,6,Ute / Tray,12500,Silver
2376,Land,2008,Rover,Land Rover Range,USED,Automatic,Diesel,244263,4,SUV,19888,Black
2377,Volkswagen,2021,T-Cross,Volkswagen T-Cross 85TSI,USED,Automatic,Premium,32749,3,SUV,32880,Orange
2378,Mazda,2016,CX-5,Mazda CX-5 Maxx,USED,Automatic,Unleaded,87985,4,SUV,23950,Grey
2379,Mazda,2010,CX-7,Mazda CX-7 Classic,USED,Automatic,Unleaded,110309,4,SUV,10995,Grey
2380,BMW,2012,X1,BMW X1 Sdrive,USED,Automatic,Premium,145738,4,SUV,15990,Grey
2381,Ford,2017,Ranger,Ford Ranger FX4,USED,Automatic,Diesel,84305,5,Ute / Tray,44990,White
2382,Volkswagen,2019,Tiguan,Volkswagen Tiguan Allspace,USED,Automatic,Premium,41673,4,SUV,51999,White
2383,Hyundai,2014,I20,Hyundai I20 Active,USED,Automatic,Unleaded,65801,4,Hatchback,12990,Silver
2384,Toyota,2018,Camry,Toyota Camry SL,USED,Automatic,Unleaded,92568,4,Sedan,29950,Grey
2385,Volvo,2015,V40,Volvo V40 D4,USED,Automatic,Diesel,115267,4,Hatchback,27990,Brown
2386,Mitsubishi,2018,Triton,Mitsubishi Triton GLX,USED,Manual,Diesel,174382,4,Ute / Tray,25990,White
2387,Mazda,2016,6,Mazda 6 Atenza,USED,Automatic,Unleaded,112940,4,Sedan,24990,Silver
2388,Hyundai,2013,I30,Hyundai I30 Active,USED,Manual,Diesel,79702,4,Hatchback,12950,White
2389,Toyota,2010,Kluger,Toyota Kluger Grande,USED,Automatic,Unleaded,100520,6,SUV,25705,Black
2390,Skoda,2022,Superb,Skoda Superb Style,USED,Automatic,Premium,6930,4,Sedan,44990,Grey
2391,Mitsubishi,2010,Lancer,Mitsubishi Lancer ES,USED,Manual,Unleaded,215316,4,Hatchback,8880,Blue
2392,Toyota,2012,Camry,Toyota Camry Altise,USED,Automatic,Unleaded,185863,4,Sedan,13980,Grey
2393,Toyota,2011,Corolla,Toyota Corolla Ascent,USED,Automatic,Unleaded,169001,4,Hatchback,11999,White
2394,Kia,2019,Cerato,Kia Cerato GT,USED,Automatic,Unleaded,24950,4,Hatchback,29990,Silver
2395,BMW,2018,X3,BMW X3 Xdrive,USED,Automatic,Premium,75000,4,SUV,56988,Black
2396,Volvo,2022,XC60,Volvo XC60 Ultimate,DEMO,Automatic,Premium,1015,4,SUV,99990,Red
2397,Volvo,2012,XC60,Volvo XC60 D5,USED,Automatic,Diesel,157633,5,SUV,19705,White
2398,Volkswagen,2013,Golf,Volkswagen Golf 90,USED,Automatic,Premium,90429,4,Hatchback,13990,Black
2399,BMW,2005,X5,BMW X5 3.0I,USED,Automatic,Premium,147501,6,SUV,9999,Grey
2400,Ford,2016,Mustang,Ford Mustang Fastback,USED,Automatic,Premium,61360,8,Coupe,45990,Grey
2401,Toyota,2002,Corolla,Toyota Corolla Conquest,USED,Automatic,Unleaded,248291,4,Hatchback,8490,Blue
2402,Ford,2014,Ranger,Ford Ranger XL,USED,Automatic,Diesel,209914,4,Ute / Tray,25777,Yellow
2403,Mazda,2013,CX-5,Mazda CX-5 Maxx,USED,Automatic,Unleaded,123101,4,SUV,18999,Blue
2404,Mazda,2011,3,Mazda 3 SP25,USED,Automatic,Unleaded,130708,4,Hatchback,14499,Grey
2405,Toyota,2005,Hilux,Toyota Hilux SR5,USED,Manual,Diesel,258195,4,Ute / Tray,21000,Silver
2406,Lexus,2016,IS300H,Lexus IS300H Luxury,USED,Automatic,Hybrid,31098,4,Sedan,44900,Silver
2407,Toyota,2020,Yaris,Toyota Yaris Ascent,USED,Automatic,Unleaded,7000,3,Hatchback,21990,White
2408,Volkswagen,2014,Amarok,Volkswagen Amarok TDI400,USED,Manual,Diesel,309234,4,Ute / Tray,10999,White
2409,Ford,2011,Falcon,Ford Falcon XR6,USED,Automatic,Unleaded,110058,6,Sedan,18999,Red
2410,Toyota,2015,Corolla,Toyota Corolla Ascent,USED,Automatic,Unleaded,107822,4,Hatchback,19950,White
2411,Nissan,2008,Dualis,Nissan Dualis TI,USED,Automatic,Unleaded,155586,4,SUV,6995,White
2412,Nissan,2010,Elgrand,Nissan Elgrand Highway,USED,Automatic,Unleaded,113470,4,Wagon,24990,Black
2413,Holden,2011,Cruze,Holden Cruze CD,USED,Automatic,Unleaded,159822,4,Sedan,7750,White
2414,Mazda,2013,CX-5,Mazda CX-5 Maxx,USED,Automatic,Unleaded,86381,4,SUV,22990,Grey
2415,Toyota,2010,Estima,Toyota Estima G,USED,Automatic,Unleaded,89789,4,Wagon,19888,White
2416,Toyota,2018,Corolla,Toyota Corolla Ascent,USED,Automatic,Unleaded,58941,4,Hatchback,23990,Silver
2417,Audi,2022,Q5,Audi Q5 40,USED,Automatic,Hybrid,8270,4,SUV,69418,White
2418,Subaru,2017,XV,Subaru XV 2.0I-S,USED,Automatic,Unleaded,13789,4,SUV,36880,Silver
2419,Volkswagen,2008,Golf,Volkswagen Golf GTI,USED,Manual,Premium,142858,4,Hatchback,11950,Black
2420,Ford,2018,Escape,Ford Escape Trend,USED,Automatic,Premium,60362,4,SUV,26490,Black
2421,Toyota,2009,Estima,Toyota Estima,USED,Automatic,Unleaded,123276,4,Wagon,18000,Silver
2422,Ford,2013,Territory,Ford Territory TS,USED,Automatic,Diesel,277953,6,SUV,10888,Red
2423,Mazda,2004,3,Mazda 3 NEO,USED,Automatic,Unleaded,161876,4,Sedan,7990,Green
2424,Toyota,2009,HiAce,Toyota HiAce GL,USED,Automatic,Unleaded,158935,4,Commercial,34900,White
2425,Toyota,2016,Camry,Toyota Camry Altise,USED,Automatic,Unleaded,63077,4,Sedan,23990,Silver
2426,Audi,2016,Q5,Audi Q5 2.0,USED,Automatic,Diesel,92939,4,SUV,32990,White
2427,Fiat,2014,Panda,Fiat Panda Easy,USED,Manual,Premium,75631,2,Hatchback,8990,White
2428,Mazda,2018,3,Mazda 3 Maxx,USED,Automatic,Unleaded,45193,4,Hatchback,24990,Grey
2429,Kia,2018,Sorento,Kia Sorento GT-Line,USED,Automatic,Diesel,88895,4,SUV,41999,White
2430,Mazda,2011,CX-7,Mazda CX-7 Luxury,USED,Automatic,Unleaded,158007,4,Wagon,13990,Black
2431,Toyota,2017,Hilux,Toyota Hilux Workmate,USED,Automatic,Diesel,106034,4,Ute / Tray,44888,White
2432,Skoda,2023,Octavia,Skoda Octavia RS,DEMO,Automatic,Premium,1500,4,Wagon,55490,White
2433,Land,2017,Rover,Land Rover Discovery,USED,Automatic,Diesel,118977,4,SUV,33999,White
2434,Toyota,2018,Hilux,Toyota Hilux Workmate,USED,Automatic,Unleaded,93839,4,Ute / Tray,26990,White
2435,Mazda,2011,3,Mazda 3 NEO,USED,Automatic,Unleaded,154492,4,Sedan,11990,Black
2436,Renault,2015,Kangoo,Renault Kangoo 1.6,USED,Automatic,Unleaded,95243,4,Commercial,19950,White
2437,Jeep,2020,Gladiator,Jeep Gladiator Overland,USED,Automatic,Unleaded,53675,6,Ute / Tray,68888,Brown
2438,Mitsubishi,2018,ASX,Mitsubishi ASX ES,USED,Automatic,Unleaded,68580,4,SUV,24999,White
2439,Toyota,2008,Tarago,Toyota Tarago GLI,USED,Automatic,Unleaded,306337,4,Wagon,6990,White
2440,Jeep,2011,Wrangler,Jeep Wrangler Unlimited,USED,Automatic,Unleaded,71000,6,SUV,31999,Black
2441,Toyota,2020,RAV4,Toyota RAV4 GX,USED,Automatic,Unleaded,124031,4,SUV,31999,Grey
2442,Mitsubishi,2013,ASX,Mitsubishi ASX Aspire,USED,Automatic,Unleaded,126201,4,SUV,21880,Silver
2443,Mercedes-Benz,2014,ML400,Mercedes-Benz ML400 (4X4),USED,Automatic,Premium,78062,6,SUV,41950,White
2444,Volkswagen,2009,Golf,Volkswagen Golf 90,USED,Manual,Premium,102204,4,Hatchback,6999,Silver
2445,Mitsubishi,2017,Triton,Mitsubishi Triton GLS,USED,Automatic,Diesel,159901,4,Ute / Tray,34990,Grey
2446,Toyota,2009,Estima,Toyota Estima ACR50,USED,Automatic,Unleaded,112800,4,Wagon,17150,White
2447,Mazda,2005,B2500,Mazda B2500 Bravo,USED,Manual,Diesel,251741,4,Ute / Tray,8990,White
2448,Mitsubishi,2020,Outlander,Mitsubishi Outlander ES,USED,Automatic,Unleaded,54667,4,SUV,28900,White
2449,Volkswagen,2023,T-ROC,Volkswagen T-ROC 140TSI,NEW,Automatic,Premium,15,4,SUV,58915,Black
2450,Mitsubishi,2021,Mirage,Mitsubishi Mirage ES,USED,Automatic,Unleaded,39999,3,Hatchback,17850,White
2451,Volkswagen,2023,T-Cross,Volkswagen T-Cross 85TSI,NEW,Automatic,Premium,9,4,Wagon,35990,Black
2452,Suzuki,2019,Vitara,Suzuki Vitara Turbo,USED,Automatic,Premium,80950,4,SUV,24999,White
2453,Toyota,2006,Camry,Toyota Camry Sportivo,USED,Automatic,Unleaded,177268,4,Sedan,9990,White
2454,Toyota,2012,Camry,Toyota Camry Altise,USED,Automatic,Unleaded,208330,4,Sedan,12999,White
2455,Volkswagen,2023,T-Cross,Volkswagen T-Cross 85TSI,NEW,Automatic,Premium,9,4,Wagon,36990,Black
2456,BMW,2016,118I,BMW 118I Sportline,USED,Automatic,Premium,123567,3,Hatchback,16999,Blue
2457,Holden,2012,Cruze,Holden Cruze SRI,USED,Automatic,Unleaded,202500,4,Hatchback,8888,Grey
2458,Toyota,2022,RAV4,Toyota RAV4 GXL,USED,Automatic,Hybrid,6988,4,SUV,59888,Red
2459,Toyota,2019,C-HR,Toyota C-HR (2WD),USED,Automatic,Premium,82259,4,SUV,30990,Red
2460,Toyota,2012,Hilux,Toyota Hilux SR,USED,Manual,Diesel,387774,4,Ute / Tray,16490,White
2461,Toyota,2001,Hilux,Toyota Hilux Workmate,USED,Manual,Unleaded,392793,4,Ute / Tray,4750,Blue
2462,Volkswagen,2018,Tiguan,Volkswagen Tiguan 132,USED,Automatic,Premium,68290,4,SUV,29990,Red
2463,Nissan,2003,Pulsar,Nissan Pulsar ST-L,USED,Automatic,Unleaded,247081,4,Sedan,4990,White
2464,Mitsubishi,2010,Outlander,Mitsubishi Outlander Activ,USED,Automatic,Unleaded,216368,4,SUV,9400,Grey
2465,Volkswagen,2022,Tiguan,Volkswagen Tiguan Allspace,DEMO,Automatic,Premium,21,4,SUV,47990,White
2466,Holden,2004,Commodore,Holden Commodore Berlina,USED,Automatic,Unleaded,142301,6,Wagon,5950,White
2467,BMW,2022,X3,BMW X3 Xdrive30I,USED,Automatic,Premium,5950,4,SUV,94990,Black
2468,Ford,2013,Territory,Ford Territory Titanium,USED,Automatic,Diesel,169000,6,SUV,15748,Silver
2469,Audi,2015,Q7,Audi Q7 3.0,USED,Automatic,Diesel,103772,6,SUV,41950,Silver
2470,Holden,2017,Captiva,Holden Captiva 7,USED,Automatic,Diesel,138851,4,SUV,16995,Red
2471,Mitsubishi,2017,Pajero,Mitsubishi Pajero Sport,USED,Automatic,Diesel,99473,4,SUV,42990,Black
2472,Volkswagen,2022,Tiguan,Volkswagen Tiguan 110TSI,DEMO,Automatic,Premium,21,4,SUV,42990,White
2473,Mazda,2023,BT-50,Mazda BT-50 XT,NEW,Automatic,Diesel,7,4,Ute / Tray,59888,White
2474,Toyota,2018,HiAce,Toyota HiAce LWB,USED,Automatic,Diesel,160589,4,Commercial,34995,White
2475,Toyota,2020,HiAce,Toyota HiAce LWB,USED,Automatic,Diesel,6217,4,Commercial,62888,White
2476,Mazda,2008,CX-7,Mazda CX-7 Classic,USED,Automatic,Premium,190397,4,SUV,9950,Silver
2477,Fiat,2016,500X,Fiat 500X POP,USED,Automatic,Unleaded,31760,4,SUV,17999,White
2478,Ford,2008,Territory,Ford Territory SR2,USED,Automatic,Unleaded,237313,6,SUV,7499,Gold
2479,Mercedes-Benz,2017,C63,Mercedes-Benz C63 S,USED,Automatic,Premium,74077,8,Coupe,117990,White
2480,Ford,2009,Ranger,Ford Ranger XLT,USED,Automatic,Diesel,190000,4,Ute / Tray,17888,Blue
2481,Mitsubishi,2019,ASX,Mitsubishi ASX ES,USED,Automatic,Unleaded,47694,4,SUV,26990,Grey
2482,Porsche,2015,Cayenne,Porsche Cayenne Diesel,USED,Automatic,Diesel,103496,6,SUV,52800,Blue
2483,Toyota,2020,RAV4,Toyota RAV4 GX,USED,Automatic,Hybrid,59864,4,SUV,45990,Silver
2484,Renault,2015,Megane,Renault Megane GT-Line,USED,Automatic,Premium,88425,4,Hatchback,14300,Blue
2485,Subaru,2009,Liberty,Subaru Liberty 2.5I,USED,Automatic,Unleaded,93914,4,Sedan,11995,Grey
2486,Volkswagen,2020,T-ROC,Volkswagen T-ROC 140TSI,USED,Automatic,Premium,26100,4,SUV,42990,Grey
2487,Honda,2016,City,Honda City VTI-LM,USED,Automatic,Unleaded,98865,4,Sedan,18990,Red
2488,Kia,2016,Sportage,Kia Sportage Platinum,USED,Automatic,Unleaded,82489,4,SUV,30498,Blue
2489,Volkswagen,2007,Passat,Volkswagen Passat 2.0T,USED,Automatic,Premium,134893,4,Sedan,6990,Brown
2490,Hyundai,2015,Iload,Hyundai Iload Crew,USED,Automatic,Diesel,147682,4,Commercial,26950,White
2491,Mercedes-Benz,2018,CLS53,Mercedes-Benz CLS53 4Matic+,USED,Automatic,Premium,13344,6,Sedan,114888,Grey
2492,Land,2011,Rover,Land Rover Range,USED,Automatic,Premium,177447,8,SUV,54888,White
2493,Toyota,2012,Corolla,Toyota Corolla Ascent,USED,Automatic,Unleaded,112241,4,Sedan,14995,Silver
2494,LDV,2018,T60,LDV T60 Luxe,USED,Automatic,Diesel,75657,4,Ute / Tray,24900,Grey
2495,Nissan,2012,Micra,Nissan Micra ST,USED,Automatic,Unleaded,143246,3,Hatchback,9990,Black
2496,Toyota,2004,Landcruiser,Toyota Landcruiser Prado,USED,Automatic,Unleaded,269101,6,SUV,19995,Black
2497,Land,2019,Rover,Land Rover Range,USED,Automatic,Premium,53519,4,SUV,64990,Black
2498,Toyota,2022,RAV4,Toyota RAV4 GX,USED,Automatic,Unleaded,9604,4,SUV,45990,White
2499,Mazda,2016,BT-50,Mazda BT-50 XTR,USED,Automatic,Diesel,75690,5,Ute / Tray,39990,White
2500,MG,2021,HS,MG HS Core,USED,Automatic,Unleaded,32775,4,SUV,23888,White
2501,Toyota,2022,Corolla,Toyota Corolla ZR,USED,Automatic,Hybrid,3727,4,Hatchback,46990,White
2502,Subaru,2020,Liberty,Subaru Liberty 2.5I,USED,Automatic,Unleaded,55449,4,Sedan,26990,Silver
2503,Toyota,2013,Yaris,Toyota Yaris YRS,USED,Automatic,Unleaded,101144,4,Hatchback,12990,Silver
2504,Honda,2013,Civic,Honda Civic VTI-L,USED,Automatic,Premium,71855,4,Hatchback,17990,Red
2505,MG,2022,HS,MG HS Excite,NEW,Automatic,Unleaded,15,4,SUV,36490,Black
2506,Volkswagen,2018,Golf,Volkswagen Golf 110,USED,Automatic,Premium,59175,4,Hatchback,28999,White
2507,BMW,2018,X3,BMW X3 Xdrive,USED,Automatic,Premium,65591,4,SUV,46999,Blue
2508,Holden,2011,Barina,Holden Barina,USED,Automatic,Unleaded,131379,4,Hatchback,6995,Red
2509,Mazda,2013,CX-9,Mazda CX-9 Luxury,USED,Automatic,Unleaded,145911,6,SUV,19990,Grey
2510,Ford,2017,Mondeo,Ford Mondeo Titanium,USED,Automatic,Unleaded,61935,4,Hatchback,25900,White
2511,Mazda,2015,3,Mazda 3 SP25,USED,Automatic,Unleaded,260385,4,Hatchback,13950,White
2512,Subaru,2009,Forester,Subaru Forester XT,USED,Automatic,Premium,190584,4,SUV,13980,Silver
2513,Mitsubishi,2013,Outlander,Mitsubishi Outlander Aspire,USED,Automatic,Diesel,179499,4,SUV,16950,White
2514,Volkswagen,2022,Passat,Volkswagen Passat 206TSI,NEW,Automatic,Premium,0,4,Wagon,68990,Grey
2515,Holden,2009,Captiva,Holden Captiva LX,USED,Automatic,Diesel,254988,4,SUV,6750,Silver
2516,Mercedes-Benz,2010,E250,Mercedes-Benz E250 CGI,USED,Automatic,Premium,88024,4,Sedan,22990,Brown
2517,Mazda,2017,BT-50,Mazda BT-50 XT,USED,Manual,Diesel,235169,5,Ute / Tray,24990,White
2518,Hyundai,2014,I20,Hyundai I20 Active,USED,Automatic,Unleaded,59038,4,Hatchback,14950,White
2519,Hyundai,2015,Elantra,Hyundai Elantra Active,USED,Automatic,Unleaded,69544,4,Sedan,19990,Blue
2520,Mitsubishi,2008,Lancer,Mitsubishi Lancer ES,USED,Manual,Unleaded,243975,4,Sedan,8990,Grey
2521,Kia,2020,Carnival,Kia Carnival S,USED,Automatic,Diesel,50603,4,Wagon,38990,White
2522,Kia,2019,RIO,Kia RIO S,USED,Automatic,Unleaded,52758,4,Hatchback,20990,White
2523,Subaru,2006,Forester,Subaru Forester X,USED,Automatic,Unleaded,151046,4,SUV,6995,Silver
2524,Holden,2005,Commodore,Holden Commodore Lumina,USED,Automatic,Unleaded,186938,6,Sedan,7499,Black
2525,Mazda,2010,6,Mazda 6 Classic,USED,Automatic,Unleaded,105589,4,Hatchback,14888,Black
2526,Mazda,2012,3,Mazda 3 NEO,USED,Automatic,Unleaded,67639,4,Hatchback,19990,Red
2527,Toyota,2017,Tarago,Toyota Tarago GLI,USED,Automatic,Unleaded,50083,4,Wagon,34990,Silver
2528,Hyundai,2019,I30,Hyundai I30 Active,USED,Automatic,Unleaded,51909,4,Hatchback,24490,Grey
2529,Holden,2009,Commodore,Holden Commodore Omega,USED,Automatic,Unleaded,275950,6,Wagon,6490,Blue
2530,Hyundai,2017,Tucson,Hyundai Tucson Active,USED,Automatic,Unleaded,149585,4,Wagon,19880,White
2531,Mini,2021,3D,Mini 3D Hatch,USED,Automatic,Electric,4001,0,Hatchback,54990,White
2532,Hyundai,2013,IX35,Hyundai IX35 Active,USED,Manual,Unleaded,149382,4,SUV,12990,White
2533,Nissan,2016,Navara,Nissan Navara RX,USED,Manual,Diesel,223020,4,Ute / Tray,17999,Silver
2534,Hyundai,2014,I30,Hyundai I30 Tourer,USED,Automatic,Diesel,205697,4,Wagon,12999,White
2535,Mazda,2005,MX-5,Mazda MX-5 (leather),USED,Automatic,Premium,88506,4,Convertible,19990,Black
